company,product,color,price,material,model,Avg_Rating,No. Reviews,No. Rating,link
RED TAPE,Walking Shoes For Men,Black,"? 1,019",Textile,Men,3.9,16,136,https://www.flipkart.com/red-tape-walking-shoes-men/p/itm91f64bdfad0fc?pid=SHOGHZKZJNJVG92T&lid=LSTSHOGHZKZJNJVG92TM1XA3B&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_289&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGHZKZJNJVG92T.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
asian,"Wind-04 Blue Sports, Gym, Training, Running, Trendy Walking Shoes For Men",Blue,? 655,Mesh,"Wind-04 Blue Sports, Gym, Training, Running, Trendy",4.1,"2,369","29,649",https://www.flipkart.com/asian-wind-04-blue-sports-gym-training-running-trendy-walking-shoes-men/p/itm5b66cddaf9357?pid=SHOGEVNVNNYPZWWT&lid=LSTSHOGEVNVNNYPZWWTZPXUTH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_290&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGEVNVNNYPZWWT.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Sports Shoes for Men | Dial Lace Quick On, Soft Cushioned Insole Walking Shoes For Men",Black,"? 1,799",Mesh,"Sports Shoes for Men | Dial Lace Quick On, Soft Cushioned Insole",Rating Not Available,No rating Found,No rating Found,https://www.flipkart.com/red-tape-sports-shoes-men-dial-lace-quick-on-soft-cushioned-insole-walking/p/itm26a7f8b7b22ed?pid=SHOGXWYNMK3KCYVQ&lid=LSTSHOGXWYNMK3KCYVQSKOCLD&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_291&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9Sw6eoXc-sVGl7FV8aTtVE06GNHxbg0dzAre4gcbSPddw%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Stride Runner M Running Shoes For Men,Black,"? 1,047",Synthetic,Stride Runner M,4.2,"1,543","17,892",https://www.flipkart.com/reebok-stride-runner-m-running-shoes-men/p/itm15aeeb7a4bbd2?pid=SHOGEUFG6AZZ8XT3&lid=LSTSHOGEUFG6AZZ8XT34ROWHT&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_292&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SzI9SA9zAr8dmk55T-ELdpVMOutV5wYjgR2E6Yw_Aswg%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",Black,"? 1,539",Mesh,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.2,486,"4,515",https://www.flipkart.com/red-tape-sports-walking-shoes-men-soft-cushioned-insole-slip-resistance/p/itma0769c472d0f3?pid=SHOGVCV6BKZPKMCF&lid=LSTSHOGVCV6BKZPKMCFT4S8RV&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_293&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGVCV6BKZPKMCF.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
asian,"Hattrick-09 Running shoes for boys |sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight white shoes for running, walking, gym, trekking, hiking & party Training & Gym Shoes For Men","Grey, Grey",? 764,Fabric,Fabric,4.1,"2,562","22,781",https://www.flipkart.com/asian-hattrick-09-running-shoes-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-white-running-walking-gym-trekking-hiking-party-training-gym/p/itm3849c640a4983?pid=SHOFZFECGAM9C8VQ&lid=LSTSHOFZFECGAM9C8VQWTN14P&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_294&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOFZFECGAM9C8VQ.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
HRX by Hrithik Roshan,Running Shoes For Men,Black,"? 1,093",Mesh,Men,4.1,"1,145","12,028",https://www.flipkart.com/hrx-hrithik-roshan-running-shoes-men/p/itmb66db84283a02?pid=SHOGUXHKFF6Y4DYV&lid=LSTSHOGUXHKFF6Y4DYVT0ZYAK&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_295&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGUXHKFF6Y4DYV.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
Sparx,Running Shoes For Men,Green,? 939,Textile,Men,3.9,44,534,https://www.flipkart.com/sparx-running-shoes-men/p/itmd6302f724723f?pid=SHOGHVRBBGV5JWKN&lid=LSTSHOGHVRBBGV5JWKNELYHHJ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_296&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGHVRBBGV5JWKN.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men",Grey,"? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.2,389,"3,924",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itmb9d723feed5d6?pid=SHOGY2VSASUQMKTN&lid=LSTSHOGY2VSASUQMKTNBZXRJT&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_297&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9R9sJQ3ktWnQcv7DtoqsH8B3RDEr7qmM7bDfI936AF-3A%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
ASE,"Durable Performance Cricket Shoes with Dual Closure, Laces and Strap Cricket Shoes For Men",Orange,? 735,Denim,PU,4.1,"1,162","13,322",https://www.flipkart.com/ase-durable-performance-cricket-shoes-dual-closure-laces-strap-men/p/itmd1de5ac7a382d?pid=SHOGAA64GRZHVZVH&lid=LSTSHOGAA64GRZHVZVH7SKIRV&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_298&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SxW3bCo37g0Aan6I9pRvjsT2xkcye40j60Ad1WlynB3A%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
NIVIA,Hy Court 2.0 Badminton Shoes For Men,Yellow,"? 1,349",PVC,Hy Court 2.0,4.3,138,"1,407",https://www.flipkart.com/nivia-hy-court-2-0-badminton-shoes-men/p/itmfha33n5ymbznu?pid=SHOFH9PFZHQ5AMHW&lid=LSTSHOFH9PFZHQ5AMHWKSOVBX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_299&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOFH9PFZHQ5AMHW.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
GOLDSTAR,602 Cricket Shoes For Men,Black,? 449,Synthetic,602,3.8,32,672,https://www.flipkart.com/goldstar-602-cricket-shoes-men/p/itm190c0aa6b0a2d?pid=SHOGX8KWWBRVCXBH&lid=LSTSHOGX8KWWBRVCXBHQJBQL2&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_300&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGX8KWWBRVCXBH.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Super Speed Walking Shoes For Men,Grey,"? 1,047",Mesh,Super Speed,4.3,27,360,https://www.flipkart.com/reebok-super-speed-walking-shoes-men/p/itm83346d89649da?pid=SHOGRSZCXJCXJQGX&lid=LSTSHOGRSZCXJCXJQGXJWFOCA&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_301&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SAXTSjtGa1LcJdPufLuNAAAXdrJZ8U89vLC71ZP238UA%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Motion Enhanced M Training & Gym Shoes For Men,Navy,"? 1,349","Synthetic, Textile",Motion Enhanced M,4.1,102,"1,442",https://www.flipkart.com/reebok-motion-enhanced-m-training-gym-shoes-men/p/itm83145b1b3e8b4?pid=SHOGHXWSZR8VPDY7&lid=LSTSHOGHXWSZR8VPDY7SMI12A&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_302&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SO9XFtxznshJCR3Zcf-5AfrXa975ZuYL239ALghwFLyIE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
Sparx,Running Shoes For Men,"Grey, Black",? 639,Mesh,Men,4.3,173,"1,329",https://www.flipkart.com/sparx-running-shoes-men/p/itm6fa6510e10a6e?pid=SHOFYFFJWFZ6KGAX&lid=LSTSHOFYFFJWFZ6KGAXUNZMWA&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_303&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOFYFFJWFZ6KGAX.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
asian,Casual Sneaker Shoes for Men | Soft Cushioned Insole || Urban-05 Training & Gym Shoes For Men,Multicolor,"? 1,309",Soft breathable fabric lining which prevents sweating,Synthetic Leather,4,"2,707","17,599",https://www.flipkart.com/asian-casual-sneaker-shoes-men-soft-cushioned-insole-urban-05-training-gym/p/itm13e991f56a109?pid=SHOGXGSF5PG5AP7K&lid=LSTSHOGXGSF5PG5AP7K0LE5VG&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_304&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGXGSF5PG5AP7K.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
PUMA,Flair 2 Running Shoes For Men,Blue,"? 1,249",Mesh,Flair 2,4.2,687,"7,791",https://www.flipkart.com/puma-flair-2-running-shoes-men/p/itma6ee8d85a1995?pid=SHOGAB2ZF9CGTZRF&lid=LSTSHOGAB2ZF9CGTZRFDSJHOJ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_305&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGAB2ZF9CGTZRF.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
VECTOR X,Ranger Badminton Shoes For Men,Multicolor,? 848,Eva Soft,Synthetic Leather,4,84,920,https://www.flipkart.com/vector-x-ranger-badminton-shoes-men/p/itm7e00291cb3aee?pid=SHOGHG8GH6C3FDGZ&lid=LSTSHOGHG8GH6C3FDGZIGHXKQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_306&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGHG8GH6C3FDGZ.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RGY,"Stylish Comfortable Lightweight, Breathable Socks Sports Walking Shoes For Men",White,? 549,Textile,"Stylish Comfortable Lightweight, Breathable Socks Sports",3.9,34,716,https://www.flipkart.com/rgy-stylish-comfortable-lightweight-breathable-socks-sports-walking-shoes-men/p/itmae2e2603bdbaf?pid=SHOGWHKWZVFDP9SG&lid=LSTSHOGWHKWZVFDP9SGBNN0T6&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_307&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9RmzCqBhq0fLo6MJkROa1OwDd7l3G5c4TOs46lwo2gTZQ%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
GOLDSTAR,602 Cricket Shoes For Men,Green,? 449,Synthetic,602,3.8,32,672,https://www.flipkart.com/goldstar-602-cricket-shoes-men/p/itme2a3eccb73e05?pid=SHOGX7JGJBHMNAFE&lid=LSTSHOGX7JGJBHMNAFECNEXHX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_308&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9TbtVhK3OBhoJHbDm2cYTiubg1P0t6s3R9bD6XHi7-3yA%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men","White, Beige","? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.1,122,"1,488",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itm1e80b263b95b5?pid=SHOGY3GZWE6DGHBA&lid=LSTSHOGY3GZWE6DGHBA5DS6KC&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_309&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGY3GZWE6DGHBA.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
JQR,"BLAST Sports shoes, Walking, Lightweight, Gym, Trakking, Stylish Running Shoes For Men","White, Blue","? 1,238",Memory Foam,Mesh,4.2,816,"3,989",https://www.flipkart.com/jqr-blast-sports-shoes-walking-lightweight-gym-trakking-stylish-running-shoes-men/p/itm072c078979c67?pid=SHOGHZNU8TT2HBZT&lid=LSTSHOGHZNU8TT2HBZT98QQRO&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_310&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGHZNU8TT2HBZT.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",White,"? 1,519",Mesh,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.3,41,291,https://www.flipkart.com/red-tape-sports-walking-shoes-men-soft-cushioned-insole-slip-resistance/p/itm2abccfb83d2a1?pid=SHOGV2VUZD3UCSFF&lid=LSTSHOGV2VUZD3UCSFFOKEBZ0&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_311&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SnS5ajuiv6kqZ5QIq7OcNzz2wztwOm9OC7DyzgWVBLykKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Troo Flight Running Shoes For Men,Navy,"? 1,024",Mesh,Troo Flight,4.2,126,"1,292",https://www.flipkart.com/reebok-troo-flight-running-shoes-men/p/itm4ef9dfa072be8?pid=SHOG4YZEZMWHRCVZ&lid=LSTSHOG4YZEZMWHRCVZWBTNSQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_312&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9TaNbt1FhVokNrqPaKkjX9qWq7TZfRxHh1L56foQD0HNOo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
CAMPUS,OSLO Training & Gym Shoes For Men,Navy,"? 1,389",Mesh,OSLO,4.1,"1,514","15,540",https://www.flipkart.com/campus-oslo-training-gym-shoes-men/p/itmf4176a21b4f06?pid=SHOFYZK3JYGK6YEH&lid=LSTSHOFYZK3JYGK6YEHWYCY12&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_313&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOFYZK3JYGK6YEH.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
CAMPUS,OMAX Running Shoes For Men,Off White,"? 1,147",Mesh,OMAX,4.1,446,"4,797",https://www.flipkart.com/campus-omax-running-shoes-men/p/itm5ef4523bc1b92?pid=SHOG7ACFTJXDGZV7&lid=LSTSHOG7ACFTJXDGZV7QCMDTK&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_314&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOG7ACFTJXDGZV7.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
LANCER,SPYDER-1BLK Sneakers For Men,Black,? 829,Fabric,SPYDER-1BLK,4.1,154,"2,086",https://www.flipkart.com/lancer-spyder-1blk-sneakers-men/p/itmebe8345ae6241?pid=SHOGJUDAT4X2YJRN&lid=LSTSHOGJUDAT4X2YJRN1ZKXFH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_315&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGJUDAT4X2YJRN.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Energy Runner 2.0 Running Shoes For Men,Black,"? 1,379",Synthetic,Energy Runner 2.0,4.2,283,"2,735",https://www.flipkart.com/reebok-energy-runner-2-0-running-shoes-men/p/itm2e8ded16247bc?pid=SHOG9XNGX5DY2JSQ&lid=LSTSHOG9XNGX5DY2JSQBY67ZI&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_316&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOG9XNGX5DY2JSQ.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
Roamra,Casual Sneakers Colourful Outdoor Shoes For Boys Nad Men Running Shoes For Men,Blue,? 699,Canvas,Polyester,4.2,1,19,https://www.flipkart.com/roamra-casual-sneakers-colourful-outdoor-shoes-boys-nad-men-running/p/itm66956acf6713d?pid=SHOGZFFGMQVTYEFY&lid=LSTSHOGZFFGMQVTYEFYQQEC1L&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_317&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9SgsIWb2GBxP3_NwcW2PJ50aohD6Y1YB1adb2EQEmhemw%3D%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
REEBOK,Super Speed Walking Shoes For Men,White,"? 1,047",Mesh,Super Speed,4.2,889,"10,037",https://www.flipkart.com/reebok-super-speed-walking-shoes-men/p/itm0f7a194e99709?pid=SHOGRSZBZKZTAMBM&lid=LSTSHOGRSZBZKZTAMBML5HFGK&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_318&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_3Lpokt9NuO-vNzAOSk1VV7esfhWJMAXLGKP-Wi99c9REzx763OsTwIQw6gkgCRmfMEFPUeEJeKFy7AK0NPFKgYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
ADIDAS,Runesy M Running Shoes For Men,Blue,"? 1,679","Mesh, Synthetic",Runesy M,4.2,"1,102","12,020",https://www.flipkart.com/adidas-runesy-m-running-shoes-men/p/itmd4e1bbda144fe?pid=SHOGAXNE6GHZ8FZE&lid=LSTSHOGAXNE6GHZ8FZEKVCILI&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_319&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGAXNE6GHZ8FZE.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
NIVIA,Football Shoes For Men,Purple,? 920,Synthetic,Men,4.1,5,71,https://www.flipkart.com/nivia-football-shoes-men/p/itma15cde3523590?pid=SHOGRSFYG34GEHKM&lid=LSTSHOGRSFYG34GEHKM6NVQPB&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_8_320&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7c189437-fee9-4c79-a6d7-6df77fbd8ac5.SHOGRSFYG34GEHKM.SEARCH&ppt=None&ppn=None&ssid=kud1v0cpxc0000001714908518134
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men","Blue, Green","? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.2,389,"3,924",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itme2eaf203f439b?pid=SHOGY2VSZ7GMQZ3V&lid=LSTSHOGY2VSZ7GMQZ3VQIFGKX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_321&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en__qGKwy6Kqk1gHU3e2ScACkxT6Crr90CyvRCopSlTHsqZZrNhQcaB6FzgtB80u7uC1KPzhJJ04HQtLWUjQB5pVw%3D%3D&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
RED TAPE,"Atheleisure Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",White,"? 1,379",Textile,"Atheleisure Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.1,108,"1,224",https://www.flipkart.com/red-tape-atheleisure-sports-shoes-men-soft-cushioned-insole-slip-resistance-walking/p/itm746fc37e0252b?pid=SHOGYTEAPRRFXBHT&lid=LSTSHOGYTEAPRRFXBHTDEFJKB&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_322&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en__qGKwy6Kqk1gHU3e2ScACkxT6Crr90CyvRCopSlTHsqJwhJM5tenQeZxeK2dWPHZQlQJIksdPY_vwAeBaZG5Yg%3D%3D&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
RED TAPE,"Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance Running Shoes For Men",White,"? 1,299",Textile,"Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance",4.1,29,349,https://www.flipkart.com/red-tape-sports-shoes-men-soft-cushioned-insole-slip-resistance-running/p/itm9914dcbe1f853?pid=SHOGX2VZFPPZ9UGH&lid=LSTSHOGX2VZFPPZ9UGHW9BGQH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_323&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7742a3de-91dd-4358-8ddd-79804737d44c.SHOGX2VZFPPZ9UGH.SEARCH&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
GOLDSTAR,Stylish New Model Sports Shoes Running Shoes For Men,Brown,? 449,Nylon,Stylish New Model Sports Shoes,3.9,734,"7,917",https://www.flipkart.com/goldstar-stylish-new-model-sports-shoes-running-men/p/itm249ac88a4eea1?pid=SHOG5YBY8CDUWK9F&lid=LSTSHOG5YBY8CDUWK9FJNQRUG&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_324&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7742a3de-91dd-4358-8ddd-79804737d44c.SHOG5YBY8CDUWK9F.SEARCH&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
JQR,"MAX EZSUPPORT lace up, stylish, fast trenddy, trainers, comfortable gym,training Running Shoes For Men","Black, Red","? 1,238",Febric,Mesh,4.1,"1,257","6,193",https://www.flipkart.com/jqr-max-ezsupport-lace-up-stylish-fast-trenddy-trainers-comfortable-gym-training-running-shoes-men/p/itmc771da7f00e6f?pid=SHOG7FNQZFWVBQA6&lid=LSTSHOG7FNQZFWVBQA6ZYPPBU&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_325&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7742a3de-91dd-4358-8ddd-79804737d44c.SHOG7FNQZFWVBQA6.SEARCH&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
asian,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training Shoes For Men","Black, Grey",? 649,Fabric,Synthetic Leather,4.1,"35,746","3,07,362",https://www.flipkart.com/asian-cosko-sports-shoes-running-shoes-walking-shoes-training-shoes-men/p/itmfe3bnzhckr7n5?pid=SHOFEFWHHBNQKJQ5&lid=LSTSHOFEFWHHBNQKJQ5E5YBEG&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_326&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=7742a3de-91dd-4358-8ddd-79804737d44c.SHOFEFWHHBNQKJQ5.SEARCH&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
Abros,ARIZONA-N Running Shoes For Men,White,? 799,FLYKNIT/MESH,Mesh,3.9,264,"3,447",https://www.flipkart.com/abros-arizona-n-running-shoes-men/p/itma55de8d3f0f93?pid=SHOGC2M9JEUFQXEW&lid=LSTSHOGC2M9JEUFQXEW6N2RYP&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_9_327&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en__qGKwy6Kqk1gHU3e2ScACkxT6Crr90CyvRCopSlTHsohgy5mWjU3BedFLno_EoPW5tPwlF3yfi0QVXqiAaQ5bfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ow858cliqo0000001714908558133
