company,product,color,price,material,model,Avg_Rating,No. Reviews,No. Rating,link
REEBOK,Stride Runner M Running Shoes For Men,Black,"? 1,047",Synthetic,Stride Runner M,4.2,"1,543","17,882",https://www.flipkart.com/reebok-stride-runner-m-running-shoes-men/p/itm15aeeb7a4bbd2?pid=SHOGEUFG6AZZ8XT3&lid=LSTSHOGEUFG6AZZ8XT34ROWHT&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_11&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiYeZ-GrZOyBRL8da7a3w_mZt2JWlPL2MjqDIrE6dVzZ-YQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men",Grey,"? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.2,392,"3,998",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itmb9d723feed5d6?pid=SHOGY2VSASUQMKTN&lid=LSTSHOGY2VSASUQMKTNBZXRJT&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_12&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiaAt6gCuXgdJiEtUW44yFRek7HKteSelD1qlRXG4eLB-UKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
CAMPUS,MIKE (N) Running Shoes For Men,Blue,? 849,Mesh,MIKE (N),4.1,"15,792","2,06,245",https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm27c989f1e20c6?pid=SHOG4G3XXYVUCYPJ&lid=LSTSHOG4G3XXYVUCYPJ3LXIRU&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&spotlightTagId=BestsellerId_osp%2Fcil%2F1cu&srno=b_1_13&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOG4G3XXYVUCYPJ.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
REEBOK,Super Speed Walking Shoes For Men,Grey,"? 1,047",Mesh,Super Speed,4.3,27,360,https://www.flipkart.com/reebok-super-speed-walking-shoes-men/p/itm83346d89649da?pid=SHOGRSZCXJCXJQGX&lid=LSTSHOGRSZCXJCXJQGXJWFOCA&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_14&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiZPrITEv2I-lYzzXpEcd5u1cAi8JicK_7vb8ygSry0J1uo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ADIDAS,Fluo M Running Shoes For Men,Black,"? 1,599",Mesh,Fluo M,4.2,"5,411","57,060",https://www.flipkart.com/adidas-fluo-m-running-shoes-men/p/itm37cdb2dc7f3b8?pid=SHOFUN8JHNHYHK7Y&lid=LSTSHOFUN8JHNHYHK7YCZBMWZ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_15&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOFUN8JHNHYHK7Y.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
RED TAPE,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole Walking Shoes For Men","Blue, Green","? 1,539",Mesh,"Athleisure Sports Shoes for Men | Enhanced Durability, Soft Cushioned Insole",4.2,389,"3,924",https://www.flipkart.com/red-tape-athleisure-sports-shoes-men-enhanced-durability-soft-cushioned-insole-walking/p/itme2eaf203f439b?pid=SHOGY2XU5UGZYHBG&lid=LSTSHOGY2XU5UGZYHBGMOBFKW&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_16&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGY2XU5UGZYHBG.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
REEBOK,Motion Enhanced M Training & Gym Shoes For Men,Navy,"? 1,349","Synthetic, Textile",Motion Enhanced M,4.1,102,"1,442",https://www.flipkart.com/reebok-motion-enhanced-m-training-gym-shoes-men/p/itm83145b1b3e8b4?pid=SHOGHXWSZR8VPDY7&lid=LSTSHOGHXWSZR8VPDY7SMI12A&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_17&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiZ12bSz3cQQK1MMqXa0g8T0t4BNS-YimcPV1IEXsb6E40hz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
ASE,"Durable Performance Cricket Shoes with Dual Closure, Laces and Strap Cricket Shoes For Men",Orange,? 735,Denim,PU,4.1,"1,162","13,322",https://www.flipkart.com/ase-durable-performance-cricket-shoes-dual-closure-laces-strap-men/p/itmd1de5ac7a382d?pid=SHOGAA64GRZHVZVH&lid=LSTSHOGAA64GRZHVZVH7SKIRV&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_18&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=en_VfKbUoYx_652DU2ZeRrx4PObKhE7RLl_a7wo-bF3DiZ3HHLyWcr8GOiaNAFNP1loShrVox4lQiGbD9Jjn4vAUg%3D%3D&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
BXXY,Men's New Stylish Grey Casual Sports Socks Shoes With Knitted Upper. Walking Shoes For Men,Grey,"? 1,169",Kniited Upper,Flyknit,Rating Not Available,No rating Found,No rating Found,https://www.flipkart.com/bxxy-men-s-new-stylish-grey-casual-sports-socks-shoes-knitted-upper-walking-men/p/itm457cd31f28201?pid=SHOGZHVPH4VGUMJU&lid=LSTSHOGZHVPH4VGUMJU858JXS&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_19&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGZHVPH4VGUMJU.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
Asics,GEL-CONTEND 5B Running Shoes For Men,Blue,"? 1,747","Mesh, Synthetic",GEL-CONTEND 5B,4.1,17,222,https://www.flipkart.com/asics-gel-contend-5b-running-shoes-men/p/itmdfbecb81a297a?pid=SHOGFGJUZVGE6NEH&lid=LSTSHOGFGJUZVGE6NEHJ0YWTN&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_20&otracker=nmenu_sub_Men_0_Sports%20Shoes&fm=organic&iid=03c97a06-c13f-4957-9781-8d41ff48ecfb.SHOGFGJUZVGE6NEH.SEARCH&ppt=None&ppn=None&ssid=ao0f6ngqps0000001714908269200
